Font Name,Family,Serif,Weight,Optical Size,Italic,Font Width,Style,Case,Glyph Name,Glyph Width,Glyph Height,Shape Width,Shape Height,Shape Area,On Curve Points,Total Points,Non Extrema Points
ScalaSansOT-Regular,Scala Sans,Sans Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,s,447,1194,0.07316586666666668,328,478,20,56,8
ScalaSansOT-Regular,Scala Sans,Sans Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,t,309,1194,0.06366003137254903,277,598,18,28,0
ScalaSansOT-Regular,Scala Sans,Sans Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,u,541,1194,0.08216086666666668,377,467,12,20,0
ScalaSansOT-Regular,Scala Sans,Sans Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,v,447,1194,0.06522172549019609,415,466,9,9,0
ScalaSansOT-Regular,Scala Sans,Sans Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,w,668,1194,0.1147346823529412,654,466,20,20,0
ScalaSansOT-Regular,Scala Sans,Sans Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,x,402,1194,0.06925748235294119,386,453,12,12,0
ScalaSansOT-Regular,Scala Sans,Sans Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,y,405,1194,0.07949283137254903,388,706,13,21,2
ScalaSansOT-Regular,Scala Sans,Sans Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,z,460,1194,0.07621058823529413,390,453,10,10,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,A,595,1194,0.1292816,578,679,11,11,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,B,591,1194,0.15156705882352944,480,660,20,42,3
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,C,605,1194,0.1076900588235294,581,685,13,35,3
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,D,711,1194,0.1494964705882353,608,660,13,27,3
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,E,539,1194,0.11064705882352943,475,660,12,12,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,F,522,1194,0.09097647058823531,475,660,10,10,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,G,708,1194,0.12886058823529414,615,685,16,40,3
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,H,771,1194,0.13794776470588233,658,660,12,12,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,I,300,1194,0.05439952941176471,186,660,4,4,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,J,300,1194,0.08854632156862746,449,898,10,22,2
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,K,571,1194,0.11694164705882354,551,660,10,10,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,L,495,1194,0.07531764705882354,388,660,6,6,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,M,878,1194,0.19971858823529412,764,660,19,27,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,N,759,1194,0.1568782588235294,639,666,12,16,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,O,763,1194,0.1588555294117647,672,685,8,24,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,P,556,1194,0.11507294117647061,494,660,14,30,2
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,Q,763,1194,0.2084069647058824,672,909,19,49,3
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,R,584,1194,0.13626282352941177,483,660,15,23,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,S,534,1194,0.10937642352941179,492,683,19,53,7
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,T,539,1194,0.08553082352941176,533,660,8,8,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,U,700,1194,0.1237449803921569,590,677,12,24,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,V,583,1194,0.10399084705882353,566,679,9,11,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,W,864,1194,0.18821830588235294,849,673,18,18,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,X,572,1194,0.11848941176470591,654,660,12,12,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,Y,550,1194,0.08199529411764707,528,660,9,9,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,Z,595,1194,0.12092752941176473,599,660,10,10,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,a,494,1194,0.09550207843137257,415,481,15,37,3
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,b,496,1194,0.11552223529411768,414,749,18,40,2
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,c,394,1194,0.06207912941176471,367,474,10,26,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,d,492,1194,0.11731200000000001,468,752,19,45,5
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,e,424,1194,0.07884800000000002,352,476,14,36,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,f,256,1194,0.10536531764705881,641,998,22,42,2
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,g,453,1194,0.13823760000000002,478,723,29,75,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,h,514,1194,0.10718469019607846,422,736,20,44,4
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,i,232,1194,0.042895701960784335,188,701,10,22,2
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,j,217,1194,0.07105141960784316,412,956,15,37,3
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,k,440,1194,0.09936000000000003,405,736,21,47,9
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,l,231,1194,0.0554164705882353,192,736,4,4,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,m,821,1194,0.1404190588235294,713,465,31,73,8
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,n,514,1194,0.08618729411764706,422,465,19,41,4
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,o,478,1194,0.08146529411764704,394,475,9,27,1
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,p,492,1194,0.11366870588235299,460,708,19,45,5
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,q,496,1194,0.11331423529411766,414,705,16,38,2
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,r,311,1194,0.04937333333333333,322,460,12,24,2
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,s,337,1194,0.06031510588235294,316,468,18,50,6
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,t,317,1194,0.06690188235294117,269,604,22,34,3
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,u,514,1194,0.08670362352941177,422,472,20,42,5
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,v,413,1194,0.06965054117647061,339,472,16,36,5
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,w,656,1194,0.11722073725490198,581,472,24,52,8
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,x,383,1194,0.07213680000000001,466,459,12,12,0
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,y,405,1194,0.082016368627451,361,698,15,31,1
ScalaSansOT-Italic,Scala Sans,Sans Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,z,419,1194,0.07230945882352943,424,453,10,10,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,A,595,1194,0.16979082352941177,591,660,11,11,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,B,591,1194,0.22403505882352942,473,660,20,42,3
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,C,605,1194,0.16159552941176472,557,685,13,35,3
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,D,711,1194,0.2243689411764706,602,660,13,27,3
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,E,539,1194,0.1675623529411765,415,660,12,12,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,F,522,1194,0.1386750588235294,409,660,10,10,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,G,708,1194,0.1911766588235294,604,684,16,40,4
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,H,771,1194,0.20191341176470592,591,660,12,12,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,I,300,1194,0.08087717647058823,126,660,4,4,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,J,300,1194,0.10964989411764704,213,893,8,16,2
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,K,571,1194,0.17628470588235295,490,660,11,11,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,L,495,1194,0.11069364705882354,396,660,6,6,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,M,878,1194,0.27698258823529415,686,660,17,25,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,N,759,1194,0.2276518588235294,566,666,17,27,2
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,O,763,1194,0.22408633333333336,701,685,8,24,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,P,556,1194,0.16796094117647062,457,660,15,31,2
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,Q,763,1194,0.2612255882352941,701,905,17,49,6
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,R,584,1194,0.20165976470588234,478,660,17,29,2
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,S,534,1194,0.1765632,484,684,22,60,8
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,T,539,1194,0.1256484705882353,522,660,8,8,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,U,700,1194,0.18715206274509805,554,673,12,24,2
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,V,583,1194,0.15544573333333334,578,679,9,13,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,W,864,1194,0.2590495764705883,861,673,18,18,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,X,572,1194,0.16993317647058823,566,660,12,12,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,Y,550,1194,0.12741882352941178,547,660,9,9,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Upper,Z,595,1194,0.18038964705882357,528,660,10,10,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,a,476,1194,0.12731929411764709,409,490,24,56,2
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,b,518,1194,0.16741101176470594,432,743,13,31,1
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,c,444,1194,0.10174945882352943,412,492,12,32,2
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,d,531,1194,0.17053778823529414,444,742,17,39,3
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,e,468,1194,0.12773701960784314,428,491,15,37,3
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,f,288,1194,0.11997121568627452,434,742,18,30,2
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,g,507,1194,0.2059176,476,721,32,84,2
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,h,545,1194,0.15707805882352946,407,729,13,21,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,i,247,1194,0.07247435294117646,135,713,8,16,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,j,245,1194,0.09996385882352943,202,956,12,28,2
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,k,467,1194,0.14637176470588237,400,729,11,11,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,l,239,1194,0.08607060000000002,119,729,4,4,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,m,832,1194,0.1986636235294118,694,474,21,39,1
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,n,545,1194,0.12634237647058827,407,474,13,21,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,o,516,1194,0.13066376470588237,468,491,8,24,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,p,538,1194,0.16960277647058825,444,711,17,39,3
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,q,514,1194,0.16344476470588234,433,713,14,34,2
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,r,337,1194,0.07438349803921568,283,472,11,21,1
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,s,447,1194,0.11158588235294119,384,494,20,54,6
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,t,309,1194,0.09539061960784315,308,617,17,27,1
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,u,545,1194,0.1253208862745098,407,473,13,21,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,v,464,1194,0.10182952941176471,454,465,9,9,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,w,701,1194,0.1728815294117647,687,465,18,18,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,x,456,1194,0.10515017647058823,447,465,12,12,0
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,y,433,1194,0.12052666666666667,425,716,13,21,2
ScalaSansOT-Bold,Scala Sans,Sans Serif,Bold,Text,Roman,Regular,Bold Roman,Lower,z,431,1194,0.1079328823529412,377,465,10,10,0
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,A,595,1194,0.16979082352941177,591,660,11,11,0
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,B,591,1194,0.22739458823529413,539,660,21,45,4
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,C,605,1194,0.15979572549019608,607,685,16,44,6
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,D,711,1194,0.22582870588235301,661,660,12,24,2
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,E,539,1194,0.16796611764705882,507,660,12,12,0
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,F,522,1194,0.13808752941176472,513,660,10,10,0
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,G,708,1194,0.19002705882352947,655,685,17,43,5
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,H,771,1194,0.20326705882352938,695,660,12,12,0
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,I,300,1194,0.08274588235294117,230,660,4,4,0
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,J,300,1194,0.13301674509803924,490,899,12,26,3
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,K,571,1194,0.17927670588235295,587,660,11,11,0
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,L,495,1194,0.11142352941176471,410,660,6,6,0
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,M,878,1194,0.27399058823529415,790,660,20,30,1
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,N,759,1194,0.2278475294117647,672,660,16,24,2
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,O,763,1194,0.22346311764705878,711,685,9,27,1
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,P,556,1194,0.17074070588235296,532,660,14,28,1
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,Q,763,1194,0.2965371882352941,711,909,21,55,5
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,R,584,1194,0.2020298823529412,531,660,17,29,2
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,S,534,1194,0.16553336470588237,532,684,21,57,7
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,T,539,1194,0.1253223529411765,538,660,8,8,0
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,U,700,1194,0.19195543529411765,627,673,13,27,1
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,V,583,1194,0.15462117647058823,580,660,11,17,0
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,W,864,1194,0.26133670588235297,863,660,18,18,0
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,X,572,1194,0.1719338823529412,671,660,12,12,0
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,Y,550,1194,0.1304884705882353,548,660,9,9,0
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Upper,Z,595,1194,0.18243176470588238,635,660,10,10,0
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,a,517,1194,0.1360605098039216,451,490,15,37,3
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,b,514,1194,0.16956185098039217,451,749,21,53,7
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,c,418,1194,0.09104799215686277,394,487,13,33,2
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,d,528,1194,0.17352958823529419,511,753,18,42,4
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,e,444,1194,0.11478842352941178,394,492,18,48,5
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,f,281,1194,0.15901647450980397,679,979,23,45,3
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,g,486,1194,0.19549920000000004,507,723,33,87,5
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,h,531,1194,0.16127347450980398,458,736,19,41,4
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,i,257,1194,0.07099764705882354,214,705,10,22,2
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,j,259,1194,0.11317298823529413,444,942,15,37,3
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,k,466,1194,0.14636298039215687,461,736,20,34,3
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,l,247,1194,0.08681913725490198,235,736,4,4,0
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,m,822,1194,0.20446028235294117,742,478,27,59,4
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,n,540,1194,0.1307808,459,478,17,35,3
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,o,499,1194,0.12697260000000002,431,491,12,36,4
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,p,526,1194,0.16895870588235296,498,715,17,39,3
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,q,518,1194,0.1657619647058824,457,717,21,49,6
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,r,345,1194,0.07558833333333333,341,475,14,30,3
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,s,362,1194,0.09436560000000001,357,492,18,50,5
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,t,350,1194,0.09724517647058825,303,620,19,33,3
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,u,537,1194,0.12861058823529414,460,485,17,35,3
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,v,446,1194,0.10154949019607847,376,485,12,26,3
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,w,689,1194,0.17071049019607845,619,485,22,44,5
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,x,417,1194,0.10374374901960784,496,472,12,12,0
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,y,439,1194,0.12796164705882354,406,705,16,34,3
ScalaSansOT-BoldItalic,Scala Sans,Sans Serif,Bold,Text,Italic,Regular,Bold Italic,Lower,z,440,1194,0.10824470588235295,424,465,10,10,0
SabonLTStd-Roman,Sabon LT Std,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,A,721,1001,0.11506388235294118,685,726,31,61,2
SabonLTStd-Roman,Sabon LT Std,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,B,611,1001,0.1510472,541,698,25,57,0
SabonLTStd-Roman,Sabon LT Std,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,C,722,1001,0.10365578039215687,626,728,12,28,0
SabonLTStd-Roman,Sabon LT Std,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,D,778,1001,0.15698978039215683,691,698,16,40,0
SabonLTStd-Roman,Sabon LT Std,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,E,611,1001,0.1217448862745098,563,698,28,56,0
SabonLTStd-Roman,Sabon LT Std,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,F,557,1001,0.10704035294117648,495,698,25,49,0
SabonLTStd-Roman,Sabon LT Std,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,G,778,1001,0.1318964705882353,700,728,20,44,0
SabonLTStd-Roman,Sabon LT Std,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,H,834,1001,0.1755237333333334,782,698,32,64,0
SabonLTStd-Roman,Sabon LT Std,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,I,332,1001,0.07970886274509804,280,698,14,30,0
SabonLTStd-Roman,Sabon LT Std,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,J,389,1001,0.0976163294117647,396,911,15,37,1
