Font Name,Family,Serif,Weight,Optical Size,Italic,Font Width,Style,Case,Glyph Name,Glyph Width,Glyph Height,Shape Width,Shape Height,Shape Area,On Curve Points,Total Points,Non Extrema Points
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,o,498,1001,0.06809731764705884,428,441,13,39,5
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,p,514,1001,0.10368476470588234,463,705,36,84,3
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,q,508,1001,0.10240470588235294,463,705,34,82,5
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,r,341,1001,0.050251482352941176,318,438,32,74,1
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,s,356,1001,0.05158650592585743,276,441,24,60,3
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,t,319,1001,0.05323493587169577,297,543,24,56,4
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,u,506,1001,0.0753504557279249,478,432,40,96,6
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,v,433,1001,0.05564588235294118,466,435,34,84,8
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,w,686,1001,0.1005754117647059,719,435,52,112,3
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,x,438,1001,0.06627331764705881,454,423,56,130,5
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,y,436,1001,0.07239134117647059,468,692,36,90,5
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,z,434,1001,0.06541475560875877,433,442,22,46,3
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,A,619,1001,0.1161469843556751,729,688,39,85,2
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,B,619,1001,0.13743676470588234,617,676,34,86,4
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,C,666,1001,0.10710226694565171,622,707,29,75,7
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,D,777,1001,0.14505809988066967,778,679,28,72,5
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,E,669,1001,0.12485425138032093,702,676,50,106,0
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,F,620,1001,0.10924737462303001,712,686,42,96,6
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,G,709,1001,0.11816217350417749,652,700,33,81,4
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,H,784,1001,0.15654294352060139,894,676,56,120,0
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,I,359,1001,0.07442296936546805,475,676,26,58,0
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,J,345,1001,0.08920433823529413,592,873,23,57,2
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,K,684,1001,0.13739835816901497,797,676,57,133,6
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,L,625,1001,0.0933401546946906,606,688,33,79,5
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,M,938,1001,0.18593379999999998,1031,676,51,113,0
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,N,746,1001,0.13460353344659579,890,676,40,88,0
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,O,709,1001,0.12620916650957903,613,700,10,30,2
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,P,590,1001,0.1126420033391874,634,676,29,69,1
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,Q,740,1001,0.17237733333333335,644,935,28,80,6
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,R,694,1001,0.14317848267614589,683,676,40,96,5
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,S,504,1001,0.09320431976463515,478,700,30,78,8
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,T,664,1001,0.10265595114791731,675,692,34,80,6
